,IDCliente,Genero,Aposentado,Casado,Dependentes,MesesComoCliente,ServicoTelefone,MultiplasLinhas,ServicoInternet,ServicoSegurancaOnline,ServicoBackupOnline,ProtecaoEquipamento,ServicoSuporteTecnico,ServicoStreamingTV,ServicoFilmes,TipoContrato,FaturaDigital,FormaPagamento,ValorMensal,TotalGasto,Churn,Codigo
3168,4893-GYUJU,Feminino,0,Nao,Nao,50,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,BoletoImpresso,19.35,1033,Nao,
584,2393-DIVAI,Feminino,0,Nao,Nao,3,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,20.0,61.7,Nao,
1220,0872-JCPIB,Masculino,0,Nao,Nao,17,Sim,Sim,DSL,Sim,Nao,Nao,Nao,Nao,Sim,Mensal,Nao,DebitoAutomatico,65.75,1111.2,Nao,
5040,9909-IDLEK,Masculino,0,Sim,Sim,20,Sim,Sim,Fibra,Nao,Sim,Nao,Sim,Sim,Nao,Mensal,Nao,BoletoImpresso,96.8,1826.7,Nao,
6614,4086-WITJG,Masculino,0,Sim,Sim,71,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,19.7,1301.1,Nao,
3274,2874-YXVVA,Feminino,0,Nao,Nao,34,Sim,Nao,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,105.1,3634.8,Nao,
6053,0057-QBUQH,Feminino,0,Nao,Sim,43,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoEletronico,25.1,1070.15,Nao,
548,4676-MQUEA,Masculino,1,Sim,Nao,50,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Sim,Nao,Anual,Sim,DebitoAutomatico,101.9,5265.5,Nao,
5448,0580-PIQHM,Feminino,0,Sim,Sim,41,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Nao,Sim,Anual,Sim,DebitoAutomatico,101.6,3930.55,Nao,
6921,5243-SAOTC,Masculino,0,Nao,Nao,54,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,79.85,4308.25,Nao,
2874,8347-GDTMP,Feminino,0,Sim,Nao,64,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,19.45,1225.65,Nao,
6548,5012-YSPJJ,Masculino,0,Sim,Sim,31,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Nao,Nao,Mensal,Nao,BoletoImpresso,54.35,1647,Nao,
3715,5288-AHOUP,Masculino,1,Nao,Nao,11,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,78.5,874.2,Nao,
2291,7488-MXJIV,Feminino,0,Nao,Nao,4,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,BoletoEletronico,85.65,321.65,Sim,
6783,9867-XOBQA,Feminino,0,Nao,Sim,21,Nao,SemTelefone,DSL,Sim,Sim,Sim,Sim,Sim,Nao,2 anos,Nao,BoletoImpresso,53.15,1183.2,Nao,
6887,2511-ALLCS,Feminino,0,Sim,Sim,35,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,24.3,821.6,Nao,
3396,5578-NKCXI,Feminino,0,Sim,Sim,58,Sim,Nao,Fibra,Sim,Sim,Nao,Nao,Sim,Sim,Anual,Nao,CartaoCredito,99.25,5846.65,Nao,
4945,1223-UNPKS,Masculino,0,Sim,Sim,20,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,20.05,400,Nao,
1203,9087-EYCPR,Feminino,0,Nao,Nao,60,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,25.0,1505.05,Nao,
344,5924-SNGKP,Feminino,0,Nao,Sim,41,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,CartaoCredito,20.25,865,Nao,
4328,1101-SSWAG,Feminino,0,Sim,Nao,15,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,51.1,711.15,Nao,
5907,0082-LDZUE,Masculino,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,44.3,44.3,Nao,
1575,2003-CKLOR,Masculino,0,Nao,Nao,66,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,99.5,6710.5,Sim,
2900,0679-IDSTG,Feminino,1,Sim,Sim,1,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,69.25,69.25,Sim,
6604,7729-JTEEC,Masculino,0,Sim,Sim,2,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,44.5,90.05,Nao,
3047,1550-LOAHA,Feminino,0,Sim,Nao,32,Sim,Nao,Fibra,Nao,Sim,Nao,Nao,Nao,Sim,Mensal,Nao,DebitoAutomatico,84.15,2585.95,Sim,
3131,8336-TAVKX,Feminino,1,Sim,Nao,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Nao,Sim,2 anos,Nao,DebitoAutomatico,78.45,5682.25,Nao,
5853,9114-VEPUF,Masculino,0,Sim,Nao,62,Sim,Sim,Fibra,Sim,Sim,Nao,Nao,Nao,Sim,Anual,Nao,BoletoEletronico,96.1,6001.45,Nao,
4072,2688-BHGOG,Masculino,1,Nao,Nao,9,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,79.55,718.55,Nao,
2173,2038-OEQZH,Masculino,0,Nao,Nao,4,Sim,Nao,Fibra,Nao,Nao,Sim,Nao,Nao,Sim,Mensal,Nao,BoletoEletronico,86.05,308.1,Nao,
90,4767-HZZHQ,Masculino,0,Sim,Sim,30,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Nao,Nao,Mensal,Nao,DebitoAutomatico,82.05,2570.2,Nao,
7006,0093-XWZFY,Masculino,0,Nao,Nao,40,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,CartaoCredito,104.5,4036.85,Sim,
5487,5519-TEEUH,Masculino,0,Nao,Sim,33,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Sim,BoletoImpresso,20.15,682.15,Nao,
4383,1088-CNNKB,Masculino,0,Sim,Nao,63,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Nao,Sim,Anual,Nao,CartaoCredito,80.0,5040.2,Nao,
2252,1813-JLKWR,Feminino,0,Sim,Sim,64,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,DebitoAutomatico,19.8,1336.65,Nao,
6696,4566-NECEV,Masculino,0,Nao,Nao,5,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Nao,Sim,Mensal,Nao,BoletoEletronico,96.55,500.1,Nao,
624,1009-IRMNA,Feminino,0,Nao,Nao,7,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,DebitoAutomatico,20.0,137.6,Sim,
69,7410-OIEDU,Masculino,0,Nao,Nao,10,Sim,Nao,Fibra,Sim,Nao,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,79.85,887.35,Nao,
889,7549-MYGPK,Feminino,0,Sim,Sim,63,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Sim,Nao,Mensal,Sim,BoletoEletronico,100.55,6215.35,Sim,
4845,0056-EPFBG,Masculino,0,Sim,Sim,20,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Nao,Nao,2 anos,Sim,CartaoCredito,39.4,825.4,Nao,
5340,5032-USPKF,Feminino,0,Nao,Nao,38,Sim,Sim,DSL,Sim,Sim,Sim,Nao,Sim,Sim,Anual,Nao,DebitoAutomatico,84.1,3187.65,Nao,
5274,6723-WSNTY,Feminino,1,Sim,Nao,66,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,Anual,Sim,CartaoCredito,108.1,7181.95,Nao,
6868,1195-OIYEJ,Masculino,0,Nao,Nao,13,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,91.1,1135.7,Sim,
3921,7964-YESJC,Feminino,0,Sim,Nao,24,Sim,Sim,DSL,Sim,Sim,Sim,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,66.3,1559.45,Nao,
5072,5995-SNNEW,Masculino,1,Sim,Nao,23,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,104.45,2184.85,Nao,
947,9904-EHEVJ,Feminino,1,Sim,Sim,32,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Nao,Mensal,Sim,BoletoImpresso,91.35,2896.55,Nao,
877,7876-AEHIG,Feminino,0,Nao,Sim,51,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Sim,Sim,Anual,Nao,DebitoAutomatico,60.15,3077,Nao,
6806,4933-BSAIP,Feminino,0,Sim,Nao,40,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.1,780.1,Nao,
6575,2978-XXSOG,Feminino,0,Nao,Nao,22,Sim,Sim,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,BoletoImpresso,59.05,1253.5,Nao,
2462,2585-KTFRE,Masculino,0,Nao,Sim,1,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Nao,Sim,Mensal,Sim,DebitoAutomatico,70.45,70.45,Nao,
293,4847-TAJYI,Feminino,1,Nao,Nao,6,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,89.35,567.8,Nao,
5446,6141-OOXUQ,Masculino,0,Nao,Nao,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.65,19.65,Sim,
3091,8189-DUKMV,Feminino,0,Sim,Nao,4,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Nao,DebitoAutomatico,20.5,79.05,Nao,
445,7752-XUSCI,Feminino,0,Nao,Nao,60,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,105.9,6396.45,Sim,
4020,4334-HOWRP,Masculino,1,Sim,Nao,72,Nao,SemTelefone,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,64.95,4546,Nao,
1961,4445-KWOKW,Feminino,0,Nao,Nao,42,Sim,Sim,DSL,Sim,Sim,Nao,Nao,Nao,Nao,Anual,Sim,DebitoAutomatico,60.15,2421.6,Nao,
2846,0541-FITGH,Feminino,0,Sim,Nao,2,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoImpresso,62.15,113.1,Nao,
3614,8039-EQPIM,Masculino,0,Sim,Nao,69,Nao,SemTelefone,DSL,Sim,Nao,Sim,Sim,Sim,Sim,2 anos,Nao,DebitoAutomatico,60.25,4055.5,Nao,
1880,6474-FVJLC,Masculino,0,Nao,Nao,2,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,86.0,165.45,Sim,
5186,3776-EKTKM,Feminino,1,Nao,Nao,1,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,BoletoEletronico,36.45,36.45,Sim,
4690,7036-ZZKBD,Masculino,0,Sim,Nao,31,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Nao,Sim,Mensal,Sim,CartaoCredito,66.4,2019.8,Nao,
3570,6696-YDAYZ,Masculino,0,Sim,Sim,16,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,20.5,290.55,Nao,
4917,6040-CGACY,Feminino,0,Nao,Nao,15,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.6,299.4,Nao,
4678,3006-XIMLN,Feminino,0,Nao,Sim,2,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,DebitoAutomatico,94.2,193.8,Sim,
5213,7668-XCFYV,Feminino,1,Sim,Nao,17,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,92.55,1614.7,Nao,
5030,6101-IMRMM,Masculino,0,Nao,Sim,6,Sim,Nao,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Nao,BoletoImpresso,94.5,575.45,Sim,
4922,7839-NUIAA,Feminino,0,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,59.8,3641.5,Nao,
367,7302-ZHMHP,Feminino,0,Nao,Nao,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.15,19.15,Nao,
5243,7661-CPURM,Masculino,0,Nao,Nao,19,Sim,Nao,Fibra,Nao,Nao,Nao,Sim,Nao,Sim,Anual,Sim,CartaoCredito,87.7,1725.95,Nao,
5331,5583-EJXRD,Masculino,0,Sim,Sim,44,Nao,SemTelefone,DSL,Sim,Sim,Sim,Sim,Nao,Sim,2 anos,Sim,CartaoCredito,54.05,2375.2,Nao,
2540,7055-JCGNI,Feminino,0,Nao,Nao,70,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,111.95,7795.95,Nao,
6316,8946-BFWSG,Masculino,0,Sim,Sim,63,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,25.25,1573.05,Nao,
3392,7636-PEPNS,Feminino,0,Sim,Sim,58,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Anual,Sim,BoletoImpresso,44.1,2413.05,Nao,
6923,7619-PLRLP,Feminino,0,Sim,Nao,53,Sim,Sim,DSL,Sim,Sim,Sim,Nao,Nao,Sim,Anual,Nao,DebitoAutomatico,74.1,3833.95,Nao,
6455,2478-EEWWM,Masculino,0,Sim,Nao,59,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,44.3,2666.75,Nao,
4684,6305-YLBMM,Masculino,0,Nao,Nao,69,Sim,Nao,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,Anual,Sim,DebitoAutomatico,104.05,7262,Sim,
3105,4429-WYGFR,Masculino,0,Nao,Nao,26,Sim,Nao,DSL,Nao,Nao,Nao,Sim,Nao,Nao,Mensal,Nao,DebitoAutomatico,49.15,1237.3,Nao,
3279,6064-PUPMC,Masculino,0,Sim,Sim,23,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Anual,Nao,CartaoCredito,57.2,1423.35,Nao,
3720,1097-FSPVW,Feminino,0,Nao,Nao,42,Sim,Nao,DSL,Sim,Nao,Sim,Nao,Nao,Nao,Mensal,Nao,CartaoCredito,54.55,2455.05,Nao,
4541,9058-CBREO,Feminino,1,Nao,Nao,1,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,50.55,50.55,Sim,
4965,9239-ZBZZV,Feminino,0,Nao,Nao,6,Nao,SemTelefone,DSL,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,47.95,305.1,Sim,
4581,9084-OAYKL,Masculino,0,Nao,Nao,58,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,20.8,1212.25,Nao,
3871,5299-SJCZT,Masculino,0,Nao,Nao,3,Sim,Sim,Fibra,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,DebitoAutomatico,101.55,298.35,Sim,
5020,5231-FIQPA,Feminino,0,Nao,Nao,41,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoImpresso,19.85,810.45,Nao,
1186,7670-ZBPOQ,Feminino,0,Sim,Nao,58,Sim,Sim,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Anual,Sim,DebitoAutomatico,61.05,3478.75,Nao,
3428,8749-JMNKX,Masculino,1,Sim,Nao,51,Sim,Sim,Fibra,Sim,Nao,Sim,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,93.8,4750.95,Sim,
5004,2067-QYTCF,Feminino,0,Sim,Nao,64,Sim,Sim,Fibra,Nao,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,BoletoEletronico,111.15,6953.4,Nao,
3866,3129-AAQOU,Feminino,0,Sim,Sim,19,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,25.6,485.9,Nao,
6827,1036-GUDCL,Masculino,0,Sim,Sim,60,Sim,Nao,DSL,Sim,Sim,Nao,Sim,Sim,Sim,Mensal,Sim,CartaoCredito,79.05,4663.4,Nao,
5349,5375-XLDOF,Masculino,0,Sim,Sim,69,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,114.35,7665.8,Nao,
6888,3191-CSNMG,Feminino,0,Sim,Sim,3,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,BoletoEletronico,80.7,239.45,Nao,
151,3874-EQOEP,Masculino,0,Nao,Nao,7,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoImpresso,95.0,655.5,Sim,
1858,7517-SAWMO,Feminino,0,Sim,Nao,19,Sim,Nao,Fibra,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,73.2,1441.1,Sim,
2464,2609-IAICY,Feminino,0,Nao,Nao,1,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,77.15,77.15,Sim,
1033,2632-TACXW,Feminino,0,Sim,Nao,62,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,DebitoAutomatico,23.65,1416.75,Nao,
1383,3334-CTHOL,Feminino,0,Nao,Nao,1,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,DebitoAutomatico,49.95,49.95,Sim,
915,6513-EECDB,Masculino,1,Sim,Nao,1,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,73.55,73.55,Sim,
1305,4945-RVMTE,Feminino,0,Nao,Nao,28,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,59.55,1646.45,Nao,
6682,9589-ABEPT,Masculino,0,Sim,Nao,69,Sim,Sim,Fibra,Nao,Sim,Nao,Sim,Sim,Nao,2 anos,Sim,BoletoImpresso,92.45,6460.55,Nao,
3098,4248-HCETZ,Masculino,1,Sim,Nao,30,Sim,Nao,Fibra,Nao,Sim,Sim,Nao,Nao,Nao,Mensal,Sim,BoletoImpresso,79.65,2365.15,Sim,
4983,1862-SKORY,Feminino,1,Sim,Nao,40,Nao,SemTelefone,DSL,Nao,Sim,Nao,Nao,Sim,Nao,Mensal,Sim,BoletoEletronico,39.3,1637.4,Sim,
509,1135-LMECX,Feminino,0,Nao,Nao,1,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,19.85,19.85,Nao,
5894,7881-INRLC,Masculino,0,Nao,Nao,45,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,CartaoCredito,100.85,4740,Sim,
5963,7163-OCEQI,Masculino,0,Sim,Sim,22,Sim,Sim,DSL,Nao,Nao,Sim,Sim,Sim,Sim,Anual,Sim,BoletoImpresso,78.65,1663.75,Nao,
6049,7634-HLQJR,Feminino,0,Sim,Sim,47,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,CartaoCredito,20.05,1016.7,Nao,
2647,4986-MXSFP,Feminino,0,Nao,Nao,2,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,BoletoImpresso,20.0,40.9,Nao,
5799,8066-POXGX,Feminino,0,Nao,Nao,13,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,35.1,446.1,Sim,
6022,5025-GOOKI,Feminino,0,Nao,Nao,20,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Sim,CartaoCredito,18.9,347.65,Nao,
748,6425-JWTDV,Masculino,0,Sim,Nao,48,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Nao,BoletoImpresso,19.25,855.1,Nao,
2304,8402-EIVQS,Masculino,0,Sim,Nao,67,Sim,Nao,Fibra,Sim,Sim,Nao,Nao,Sim,Sim,Anual,Sim,CartaoCredito,100.9,6733.15,Nao,
4076,1325-USMEC,Masculino,0,Sim,Nao,70,Sim,Sim,Fibra,Sim,Sim,Sim,Nao,Sim,Nao,2 anos,Sim,CartaoCredito,99.35,6944.5,Nao,
5410,4049-ZPALD,Feminino,0,Sim,Nao,64,Sim,Nao,Fibra,Sim,Nao,Sim,Nao,Sim,Sim,2 anos,Sim,DebitoAutomatico,99.0,6375.8,Nao,
1310,6393-WRYZE,Feminino,0,Sim,Nao,34,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,97.65,3207.55,Sim,
1611,1971-DTCZB,Feminino,0,Sim,Nao,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,90.95,6468.6,Nao,
6988,1684-FLBGS,Feminino,0,Sim,Sim,23,Sim,Sim,DSL,Nao,Sim,Nao,Sim,Sim,Nao,Mensal,Sim,CartaoCredito,69.5,1652.1,Nao,
911,7508-SMHXL,Feminino,1,Nao,Nao,15,Sim,Sim,Fibra,Nao,Sim,Nao,Nao,Sim,Nao,Mensal,Nao,CartaoCredito,89.0,1288.3,Nao,
2673,8429-XIBUM,Masculino,0,Nao,Nao,22,Sim,Sim,Fibra,Sim,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,DebitoAutomatico,101.35,2317.1,Sim,
2499,6061-GWWAV,Masculino,0,Nao,Sim,41,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Sim,Nao,Anual,Nao,BoletoImpresso,70.2,2894.55,Nao,
3089,5680-LQOGP,Feminino,0,Nao,Nao,68,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,CartaoCredito,82.45,5646.6,Nao,
5200,6050-IJRHS,Feminino,0,Sim,Sim,70,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Sim,Anual,Sim,BoletoEletronico,106.5,7397,Nao,
5096,0363-SVHYR,Masculino,0,Sim,Sim,71,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Nao,DebitoAutomatico,86.85,6263.8,Nao,
2680,6997-UVGOX,Masculino,0,Sim,Sim,71,Sim,Nao,DSL,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Nao,DebitoAutomatico,85.45,6029.9,Nao,
2126,5858-EAFCZ,Masculino,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoImpresso,44.45,44.45,Nao,
471,3583-EKAPL,Masculino,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,BoletoEletronico,55.0,55,Sim,
967,7764-BDPEE,Masculino,0,Nao,Sim,3,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,20.85,60.65,Nao,
7013,1685-BQULA,Feminino,0,Nao,Nao,40,Sim,Sim,Fibra,Nao,Sim,Sim,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,93.4,3756.4,Nao,
4056,3329-WDIOK,Feminino,0,Nao,Nao,3,Nao,SemTelefone,DSL,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,BoletoEletronico,50.6,155.35,Sim,
4602,1240-HCBOH,Feminino,0,Nao,Nao,67,Sim,Sim,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoImpresso,26.1,1759.55,Nao,
5873,2122-YWVYA,Feminino,0,Nao,Nao,18,Sim,Nao,Fibra,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,75.4,1380.4,Nao,
6648,2164-SOQXL,Feminino,0,Sim,Sim,20,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Nao,BoletoImpresso,20.05,406.05,Nao,
3815,9306-CPCBC,Feminino,0,Nao,Nao,3,Sim,Sim,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,BoletoEletronico,74.25,210.3,Sim,
896,8975-SKGRX,Masculino,0,Sim,Nao,71,Sim,Sim,Fibra,Sim,Sim,Sim,Sim,Sim,Sim,2 anos,Sim,DebitoAutomatico,116.1,8310.55,Nao,
5329,2894-QOJRX,Feminino,0,Sim,Nao,25,Nao,SemTelefone,DSL,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,DebitoAutomatico,34.0,853,Sim,
4284,8189-XRIKE,Feminino,1,Nao,Nao,32,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Nao,BoletoEletronico,90.95,2897.95,Nao,
5785,0506-YLVKJ,Masculino,0,Sim,Sim,46,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,BoletoImpresso,20.2,917.45,Nao,
1773,2007-QVGAW,Feminino,0,Sim,Sim,68,Sim,Nao,Nao,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Sim,DebitoAutomatico,19.35,1292.65,Nao,
3307,0253-ZTEOB,Feminino,0,Sim,Sim,48,Sim,Sim,DSL,Nao,Sim,Nao,Sim,Sim,Sim,2 anos,Nao,BoletoEletronico,79.65,3870.3,Nao,
251,4629-NRXKX,Feminino,0,Sim,Sim,2,Sim,Nao,Fibra,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,BoletoEletronico,70.4,147.15,Sim,
